date	commit	mode	bytes	asm_lines	source	subject
2026-06-30T16:49:01	d950758+	none	4019	3504	bench.c	read register-resident call arguments straight into param registers
2026-06-30T16:49:01	d950758+	Os	3526	2902	bench.c	read register-resident call arguments straight into param registers
2026-06-30T16:49:01	d950758+	O	7053	5175	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:28:16	d950758+	none	4019	3504	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:28:16	d950758+	Os	3526	2902	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:28:16	d950758+	O	7053	5175	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:54:26	d950758+	none	4019	3504	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:54:26	d950758+	Os	3526	2902	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:54:26	d950758+	O	7053	5175	bench.c	read register-resident call arguments straight into param registers
2026-07-01T09:59:02	6366591+	none	3659	3142	bench.c	added common functions for reading and writing to fields
2026-07-01T09:59:02	6366591+	Os	3122	2562	bench.c	added common functions for reading and writing to fields
2026-07-01T09:59:02	6366591+	O	7728	5843	bench.c	added common functions for reading and writing to fields
2026-07-01T10:08:11	6366591+	none	3659	3142	bench.c	added common functions for reading and writing to fields
2026-07-01T10:08:11	6366591+	Os	3122	2562	bench.c	added common functions for reading and writing to fields
2026-07-01T10:08:11	6366591+	O	7728	5843	bench.c	added common functions for reading and writing to fields
2026-07-01T10:12:50	6366591+	none	3659	3142	bench.c	added common functions for reading and writing to fields
2026-07-01T10:12:50	6366591+	Os	3122	2562	bench.c	added common functions for reading and writing to fields
2026-07-01T10:12:50	6366591+	O	7728	5843	bench.c	added common functions for reading and writing to fields
